Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Tipo de Campaña;Item;Unidad Monetaria;Monto;Estado
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;16.739;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;6.650;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;6.650;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Gasolina;pesos;10.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Evento;pesos;2.380.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;14.167;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;14.167;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;11.424;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;26.462;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Calendarios;pesos;4.881.380;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Volantes;pesos;3.000.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Fotografías;pesos;186.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;20.292;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;29.694;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;16.038;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;44.842;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Jefe de Campaña;pesos;900.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;200.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;434.444;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;388.889;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;300.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;300.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;1.000.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;500.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;3.000.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;800.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;1.200.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;800.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;800.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;800.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;1.500.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;1.000.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;1.500.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;1.000.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;1.500.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;8.000.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Gráficas;pesos;2.200.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Arriendo camioneta;pesos;107.100;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Diesel;pesos;30.002;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;72.265;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;32.738;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;34.402;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Volantes;pesos;4.096.575;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;41.557;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;7.980;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;-;Sin información;Pesos;0;-
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;-;Sin información;Pesos;0;-
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Gastos menores;pesos;235.653;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Lienzos;pesos;1.190.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Lienzos;pesos;3.641.400;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Lienzos;pesos;30.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Brigadista;pesos;80.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Brigadista;pesos;300.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Adm Gral Electoral;pesos;1.000.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Jefe de campaña;pesos;1.500.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Radio;pesos;1.092.063;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Sitio web;pesos;444.444;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Adm Gral Electoral;pesos;500.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Radio;pesos;2.184.126;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Radio;pesos;1.609.356;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Radio;pesos;476.238;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Evento;pesos;238.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Brigadista;pesos;27.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Banderas;pesos;154.700;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Aporte a candidato;pesos;100.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Aporte a candidato;pesos;100.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Aporte a candidato;pesos;100.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Aporte a candidato;pesos;200.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Aporte a candidato;pesos;200.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Volantes;pesos;344.505;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Concejal;Volantes;pesos;12.129.075;Pendiente de aprobación
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Alcaldicia;Campaña;Pesos;260.076.167;Pendiente de aprobación
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Concejal;Campaña;Pesos;38.160.753;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PUBLICIDAD CAMPAÑA MUNICIPALES 2016 POR PAGAR;Pesos;76.718.300;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PAQUETES EXPRESS MUNICIPALES 2016;Pesos;26.336.712;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;FRASES EN RADIO CAMPAÑA MUNICIPAL 2016;Pesos;19.318.524;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PRODUCCION Y REALIZACION EVENTO PLAZAS CIUDADANAS CAMPAÑA MUNICIPAL 2016;Pesos;13.685.000;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PUBLICIDAD CAMPAÑA MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO;Pesos;9.044.000;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PROMOCIONES TELEFONICAS CAMPAÑA MUNICIPAL 2016;Pesos;7.616.000;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PUBLICIDAD CAMPAÑA MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO;Pesos;5.569.200;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PAQUETES EXPRESS MUNICIPALES 2016;Pesos;5.216.455;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PUBLICACION 32 CMS. ALTO X 25 CMS. ANCHO MUNICIPALES 2016;Pesos;4.760.000;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PUBLICIDAD CAMPAÑA MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO;Pesos;3.213.000;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;APORTES PREVISIONALES EJECUTIVOS MUNICIPALES 2016;Pesos;3.073.562;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;SUELDO CAMPAÑA MUNICIPAL 2016;Pesos;2.934.111;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PUBLICIDAD CAMPAÑA MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO;Pesos;2.856.000;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PUBLICIDAD CAMPAÑA MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO;Pesos;2.558.500;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PRESENTACION CRONIKA CAMPAÑA MUNICIPAL 2016 (7,8,9 Y 10 DE 10);Pesos;2.222.224;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 20000 M2 PVC: 300 FACTURAS POR CESION DE DERECHO;Pesos;1.832.600;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;SERVICIOS DE INFORMACION CAMPAÑA MUNICIPAL 2016 BOLETA POR CESION DE DERECHO;Pesos;1.800.000;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 0 M2 PVC: 560 FACTURAS POR CESION DE DERECHO;Pesos;1.798.090;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;EXCESO DE APORTE DEVUELTO AL PPD;Pesos;1.776.129;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 DIPTICOS:30000 MT2 PVC:300 FACTURAS POR CESION DE DERECHO;Pesos;1.767.150;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 8000 M2 PVC: 400 FACTURAS POR CESION DE DERECHO;Pesos;1.655.290;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PUBLICIDAD CAMPAÑA MUNICIPALES 2016;Pesos;1.647.361;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 20000 M2 PVC: 220 FACTURAS POR CESION DE DERECHO;Pesos;1.608.880;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 8000 M2 PVC: 350 FACTURAS POR CESION DE DERECHO;Pesos;1.515.465;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 8000 M2 PVC: 340 FACTURAS POR CESION DE DERECHO;Pesos;1.487.500;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PUBLICIDAD CAMPAÑA MUNICIPALES 2016;Pesos;1.448.825;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 DIPTICOS:40000 MT2 PVC:0 FACTURAS POR CESION DE DERECHO;Pesos;1.237.600;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 8000 M2 PVC: 300 FACTURAS POR CESION DE DERECHO;Pesos;1.220.940;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 8000 M2 PVC: 240 FACTURAS POR CESION DE DERECHO;Pesos;1.207.850;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 20000 M2 PVC: 120 FACTURAS POR CESION DE DERECHO;Pesos;1.174.530;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 8000 M2 PVC: 270 FACTURAS POR CESION DE DERECHO;Pesos;1.137.045;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;SERVICIOS PUERTA A PUERTA CAMPAÑA MUNICIPAL 2016 BOLETA POR CESION DE DERECHO;Pesos;1.111.111;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;SERVICIOS PRESTADOS CAMPAÑA MUNICIPAL 2016 BOLETA POR CESION DE DERECHO;Pesos;1.111.111;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 8000 M2 PVC: 230 FACTURAS POR CESION DE DERECHO;Pesos;1.025.185;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;SUELDO CAMPAÑA MUNICIPAL 2016;Pesos;1.000.050;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;APORTE PPD MUNICIPALES 2016;Pesos;1.000.000;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;SERVICIO DE AMPLIFICACION MUNICIPAL 2016;Pesos;1.000.000;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;SERVICIOS DE INFORMACION CAMPAÑA MUNICIPAL 2016 BOLETA POR CESION DE DERECHO;Pesos;978.978;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 8000 M2 PVC: 200 FACTURAS POR CESION DE DERECHO;Pesos;941.290;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 6000 M2 PVC: 220 FACTURAS POR CESION DE DERECHO;Pesos;921.060;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;SUELDO CAMPAÑA MUNICIPAL 2016;Pesos;900.686;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;SUELDO CAMPAÑA MUNICIPAL 2016;Pesos;900.049;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 8000 M2 PVC: 120 FACTURAS POR CESION DE DERECHO;Pesos;872.270;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 6000 CALENDARIO CARTA: 6000 M2 PVC: 200 FACTURAS POR CESION DE DERECHO;Pesos;834.190;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PUBLICIDAD CAMPAÑA MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO;Pesos;824.670;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 DIPTICOS:10000 MT2 PVC:180 FACTURAS POR CESION DE DERECHO;Pesos;812.770;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;FRASES EN RADIO CAMPAÑA MUNICIPAL 2016;Pesos;812.175;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;SERVICIOS DE INFORMACION CAMPAÑA MUNICIPAL 2016 BOLETA POR CESION DE DERECHO;Pesos;800.000;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 4000 M2 PVC: 200 FACTURAS POR CESION DE DERECHO;Pesos;788.970;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 5000 CALENDARIO CARTA: 4000 M2 PVC: 200 FACTURAS POR CESION DE DERECHO;Pesos;750.295;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;PUBLICIDAD CAMPAÑA MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO;Pesos;737.800;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 8000 M2 PVC: 120 FACTURAS POR CESION DE DERECHO;Pesos;717.570;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 8000 M2 PVC: 120 FACTURAS POR CESION DE DERECHO;Pesos;717.570;Pendiente de aprobación
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Concejal;CAMPAÑA MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 8000 M2 PVC: 120 FACTURAS POR CESION DE DERECHO;Pesos;717.570;Pendiente de aprobación
