codigo_organismo,nombre_organismo,anio_informado,trimestre_informado,tipo_de_campania,item,unidad_monetaria,monto,estado
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Publicidad,pesos,1071000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Comunicaciones,pesos,700000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Indumentaria,pesos,2177700,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Escenario,pesos,1428000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Gigantograf铆as,pesos,4146912,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,6650,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,6650,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,16739,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,6650,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,6650,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Gasolina,pesos,10000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Evento,pesos,2380000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,14167,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,14167,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,11424,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,26462,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Calendarios,pesos,4881380,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Volantes,pesos,3000000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Fotograf铆as,pesos,186000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,20292,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,29694,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,16038,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,44842,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Jefe de Campa帽a,pesos,900000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,200000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,434444,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,388889,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,300000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,300000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,1000000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,500000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,3000000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,800000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,1200000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,800000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,800000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,800000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,1500000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,1000000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,1500000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,1000000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,1500000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,8000000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Gr谩ficas,pesos,2200000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Arriendo camioneta,pesos,107100,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Diesel,pesos,30002,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,72265,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,32738,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,34402,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Volantes,pesos,4096575,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,41557,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Env铆o propaganda,pesos,7980,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,-,Sin informaci贸n,Pesos,0,-
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,-,Sin informaci贸n,Pesos,0,-
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Gastos menores,pesos,235653,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Lienzos,pesos,1190000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Lienzos,pesos,3641400,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Lienzos,pesos,30000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Brigadista,pesos,80000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Brigadista,pesos,300000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Adm Gral Electoral,pesos,1000000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Jefe de campa帽a,pesos,1500000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Radio,pesos,1092063,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Sitio web,pesos,444444,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Adm Gral Electoral,pesos,500000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Radio,pesos,2184126,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Radio,pesos,1609356,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Radio,pesos,476238,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Evento,pesos,238000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Brigadista,pesos,27000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Banderas,pesos,154700,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Aporte a candidato,pesos,100000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Aporte a candidato,pesos,100000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Aporte a candidato,pesos,100000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Aporte a candidato,pesos,200000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Aporte a candidato,pesos,200000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Volantes,pesos,344505,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Concejal,Volantes,pesos,12129075,Pendiente de aprobaci贸n
PP011,Partido Evoluci贸n Pol铆tica (Ev贸poli),2016,Oct - Dic,Alcaldicia,Campa帽a,Pesos,260076167,Pendiente de aprobaci贸n
PP011,Partido Evoluci贸n Pol铆tica (Ev贸poli),2016,Oct - Dic,Concejal,Campa帽a,Pesos,38160753,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PUBLICIDAD CAMPA袮 MUNICIPALES 2016 POR PAGAR,Pesos,76718300,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PAQUETES EXPRESS MUNICIPALES 2016,Pesos,26336712,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,FRASES EN RADIO CAMPA袮 MUNICIPAL 2016,Pesos,19318524,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PRODUCCION Y REALIZACION EVENTO PLAZAS CIUDADANAS CAMPA袮 MUNICIPAL 2016,Pesos,13685000,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PUBLICIDAD CAMPA袮 MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO,Pesos,9044000,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PROMOCIONES TELEFONICAS CAMPA袮 MUNICIPAL 2016,Pesos,7616000,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PUBLICIDAD CAMPA袮 MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO,Pesos,5569200,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PAQUETES EXPRESS MUNICIPALES 2016,Pesos,5216455,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PUBLICACION 32 CMS. ALTO X 25 CMS. ANCHO MUNICIPALES 2016,Pesos,4760000,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PUBLICIDAD CAMPA袮 MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO,Pesos,3213000,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,APORTES PREVISIONALES EJECUTIVOS MUNICIPALES 2016,Pesos,3073562,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,SUELDO CAMPA袮 MUNICIPAL 2016,Pesos,2934111,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PUBLICIDAD CAMPA袮 MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO,Pesos,2856000,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PUBLICIDAD CAMPA袮 MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO,Pesos,2558500,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,"PRESENTACION CRONIKA CAMPA袮 MUNICIPAL 2016 (7,8,9 Y 10 DE 10)",Pesos,2222224,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 20000 M2 PVC: 300 FACTURAS POR CESION DE DERECHO,Pesos,1832600,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,SERVICIOS DE INFORMACION CAMPA袮 MUNICIPAL 2016 BOLETA POR CESION DE DERECHO,Pesos,1800000,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 0 M2 PVC: 560 FACTURAS POR CESION DE DERECHO,Pesos,1798090,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,EXCESO DE APORTE DEVUELTO AL PPD,Pesos,1776129,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 DIPTICOS:30000 MT2 PVC:300 FACTURAS POR CESION DE DERECHO,Pesos,1767150,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 8000 M2 PVC: 400 FACTURAS POR CESION DE DERECHO,Pesos,1655290,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PUBLICIDAD CAMPA袮 MUNICIPALES 2016,Pesos,1647361,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 20000 M2 PVC: 220 FACTURAS POR CESION DE DERECHO,Pesos,1608880,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 8000 M2 PVC: 350 FACTURAS POR CESION DE DERECHO,Pesos,1515465,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 8000 M2 PVC: 340 FACTURAS POR CESION DE DERECHO,Pesos,1487500,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PUBLICIDAD CAMPA袮 MUNICIPALES 2016,Pesos,1448825,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 DIPTICOS:40000 MT2 PVC:0 FACTURAS POR CESION DE DERECHO,Pesos,1237600,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 8000 M2 PVC: 300 FACTURAS POR CESION DE DERECHO,Pesos,1220940,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 8000 M2 PVC: 240 FACTURAS POR CESION DE DERECHO,Pesos,1207850,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 20000 M2 PVC: 120 FACTURAS POR CESION DE DERECHO,Pesos,1174530,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 8000 M2 PVC: 270 FACTURAS POR CESION DE DERECHO,Pesos,1137045,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,SERVICIOS PUERTA A PUERTA CAMPA袮 MUNICIPAL 2016 BOLETA POR CESION DE DERECHO,Pesos,1111111,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,SERVICIOS PRESTADOS CAMPA袮 MUNICIPAL 2016 BOLETA POR CESION DE DERECHO,Pesos,1111111,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 8000 M2 PVC: 230 FACTURAS POR CESION DE DERECHO,Pesos,1025185,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,SUELDO CAMPA袮 MUNICIPAL 2016,Pesos,1000050,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,APORTE PPD MUNICIPALES 2016,Pesos,1000000,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,SERVICIO DE AMPLIFICACION MUNICIPAL 2016,Pesos,1000000,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,SERVICIOS DE INFORMACION CAMPA袮 MUNICIPAL 2016 BOLETA POR CESION DE DERECHO,Pesos,978978,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 8000 M2 PVC: 200 FACTURAS POR CESION DE DERECHO,Pesos,941290,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 6000 M2 PVC: 220 FACTURAS POR CESION DE DERECHO,Pesos,921060,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,SUELDO CAMPA袮 MUNICIPAL 2016,Pesos,900686,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,SUELDO CAMPA袮 MUNICIPAL 2016,Pesos,900049,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 30000 CALENDARIO CARTA: 8000 M2 PVC: 120 FACTURAS POR CESION DE DERECHO,Pesos,872270,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 6000 CALENDARIO CARTA: 6000 M2 PVC: 200 FACTURAS POR CESION DE DERECHO,Pesos,834190,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,PUBLICIDAD CAMPA袮 MUNICIPALES 2016 FACTURAS POR CESION DE DERECHO,Pesos,824670,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 DIPTICOS:10000 MT2 PVC:180 FACTURAS POR CESION DE DERECHO,Pesos,812770,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,FRASES EN RADIO CAMPA袮 MUNICIPAL 2016,Pesos,812175,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,SERVICIOS DE INFORMACION CAMPA袮 MUNICIPAL 2016 BOLETA POR CESION DE DERECHO,Pesos,800000,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 10000 CALENDARIO CARTA: 4000 M2 PVC: 200 FACTURAS POR CESION DE DERECHO,Pesos,788970,Pendiente de aprobaci贸n
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Concejal,CAMPA袮 MUNICIPALES 2016 CALENDARIO B: 5000 CALENDARIO CARTA: 4000 M2 PVC: 200 FACTURAS POR CESION DE DERECHO,Pesos,750295,Pendiente de aprobaci贸n
